"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN6BDFF50580E47C90,"Sunnyside Auto Repair, General Auto Repair, Auto Body Shop","4533 37th St, Long Island City, NY 11101",https://www.bing.com/th?id=OLC.FUaRNAmh52QZqQ480x360&pid=Local,https://www.bing.com/maps?cp=40.742977142333984%7E-73.92790985107422&lvl=16.0&q=Sunnyside%20Auto%20Repair%2C%20General%20Auto%20Repair%2C%20Auto%20Body%20Shop%20%2C%204533%2037th%20St%2C%20Long%20Island%20City%2C%20NY%2011101,40.74297714,-73.92790985,4.5,Yelp (76),汽车维修,营业 · 歇业时间: 17:00,http://sunnysiderepairshop.com/,(917) 396-4908,sunnynam@sunny-app.co.kr,,,,
ypid:YN6C7BAE58CB6D8750,Malibu Auto Repair,"502 Coney Island Ave, Brooklyn, NY 11218",https://www.bing.com/th?id=OLC./sNcCsRuFnhWTQ480x360&pid=Local,https://www.bing.com/maps?cp=40.64556121826172%7E-73.97100830078125&lvl=16.0&q=Malibu%20Auto%20Repair%20%2C%20502%20Coney%20Island%20Ave%2C%20Brooklyn%2C%20NY%2011218,40.64556122,-73.9710083,4.5,Yelp (132),汽车维修,营业 · 歇业时间: 16:00,https://www.malibuny.com/,(718) 633-0030,"Malibu@MalibuNY.com,633-0030Malibu@MalibuNY.com,malibu@malibuny.com","https://www.yelp.com/biz/malibu-auto-repair-brooklyn?hrid=so7fcy7ywz-0qbwy6ovcug,https://www.facebook.com/rose.crichton/posts/10224637250385735",https://www.facebook.com/rose.crichton/posts/10224637250385735,,
ypid:YN6989EF4728AD25AA,Midtown Center Auto Repair & Body Shop | Long Island City,"4525 36th St, Long Island City, NY 11101",https://www.bing.com/th?id=OLC.Mz0mZnXZ+XrOWg480x360&pid=Local,https://www.bing.com/maps?cp=40.74325180053711%7E-73.9288101196289&lvl=16.0&q=Midtown%20Center%20Auto%20Repair%20%26%20Body%20Shop%20%7C%20Long%20Island%20City%20%2C%204525%2036th%20St%2C%20Long%20Island%20City%2C%20NY%2011101,40.7432518,-73.92881012,4,Yelp (77),汽车维修,营业 · 歇业时间: 20:00,https://midtowncenterautorepair.com/,(212) 629-1028,"info@midtowncenterautorepair.com,Webinfo@midtowncenterautorepair.com,midtowncenter@hotmail.com,Midtowncenter@hotmail.com,midtown@midtownbodyrepair.com","https://www.facebook.com/midtowncenterautorepair/,https://x.com/mcar_nyc,https://www.instagram.com/auto_repair_manhattan/,https://www.linkedin.com/company/midtown-center-auto-repair-&-body-shop",https://www.facebook.com/midtowncenterautorepair/,https://www.instagram.com/auto_repair_manhattan/,https://x.com/mcar_nyc
ypid:YN1042F046F9970B8B,Steinway Auto Repair,"2305 Steinway St, Astoria, NY 11105",https://www.bing.com/th?id=OLC.96iOIotVRdl73w480x360&pid=Local,https://www.bing.com/maps?cp=40.770755767822266%7E-73.90818786621094&lvl=16.0&q=Steinway%20Auto%20Repair%20%2C%202305%20Steinway%20St%2C%20Astoria%2C%20NY%2011105,40.77075577,-73.90818787,4.5,Yelp (111),汽车维修,歇业 · 营业时间: 明天 08:00,https://steinwayautorepairs.net/,(718) 545-6129,"tway@tway.co.kr,nefum@aol.com","https://www.facebook.com/steinway-auto-repairs-2077842305782121/,https://www.instagram.com/steinwayautorepairastoria/,https://www.youtube.com/@steinwayautorepair,https://www.yelp.com/biz/steinway-auto-repair-astoria?adjust_creative=microsoft&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=microsoft",https://www.facebook.com/steinway-auto-repairs-2077842305782121/,https://www.instagram.com/steinwayautorepairastoria/,
ypid:YNA34B0CBC9C7F1617,Manhattan Auto Repair Inc.,"552 W 48th St, New York, NY 10036",https://www.bing.com/th?id=OLC.sCkJespZbv6UdA480x360&pid=Local,https://www.bing.com/maps?cp=40.76416015625%7E-73.99510955810547&lvl=16.0&q=Manhattan%20Auto%20Repair%20Inc.%20%2C%20552%20W%2048th%20St%2C%20New%20York%2C%20NY%2010036,40.76416016,-73.99510956,4.5,Yelp (59),汽车维修,歇业 · 营业时间: 明天 08:00,http://manhattanautoinc.com/,(212) 757-4366,"John.Smith@manhattanautoinc.com,manhattanauto11@gmail.com,Manhattanauto11@gmail.com",https://www.youtube.com/feed/history?utm_source=pp,,,
ypid:YNE726BE5B0144D52C,Chariot Auto Repair,"71 Coles St, Jersey City, NJ 07302",https://www.bing.com/th?id=OLC.RsaT1LRLp9xdJg480x360&pid=Local,https://www.bing.com/maps?cp=40.724510192871094%7E-74.04753112792969&lvl=16.0&q=Chariot%20Auto%20Repair%20%2C%2071%20Coles%20St%2C%20Jersey%20City%2C%20NJ%2007302,40.72451019,-74.04753113,4,Yelp (111),汽车维修,歇业 · 营业时间: 明天 09:00,https://www.autorepairjerseycity.com/,(201) 824-3352,help@mapquest.com,https://facebook.com/chariot-auto-repair,https://facebook.com/chariot-auto-repair,,
ypid:YN246B26D28F7FBFB4,Twin Towers Service Station,"1290 Anderson Ave, Fort Lee, NJ 07024",https://www.bing.com/th?id=OLC.L6TP+XE1ECZpDw480x360&pid=Local,https://www.bing.com/maps?cp=40.841827392578125%7E-73.98003387451172&lvl=16.0&q=Twin%20Towers%20Service%20Station%20%2C%201290%20Anderson%20Ave%2C%20Fort%20Lee%2C%20NJ%2007024,40.84182739,-73.98003387,2.5,Yelp (27),汽车维修,歇业 · 营业时间: 明天 08:00,https://twintowersservice.com/,(201) 224-8444,,"https://www.facebook.com/twintowersservicestationi/,https://www.instagram.com/twintowersfortlee/",https://www.facebook.com/twintowersservicestationi/,https://www.instagram.com/twintowersfortlee/,
ypid:YN37AF1A5F760334BF,L & B Auto Repair,"186 24th St, Brooklyn, NY 11232",https://www.bing.com/th?id=OLC.fJIFURrLTbOtNw480x360&pid=Local,https://www.bing.com/maps?cp=40.66178894042969%7E-73.99929809570312&lvl=16.0&q=L%20%26%20B%20Auto%20Repair%20%2C%20186%2024th%20St%2C%20Brooklyn%2C%20NY%2011232,40.66178894,-73.9992981,5,Yelp (156),汽车维修,歇业 · 营业时间: 明天 08:00,https://www.landbautorepair.com/,(718) 398-6228,"landbautorepair@gmail.com,dpo@thryv.com,ThryvPrivacy_au@thryv.com","https://www.yelp.com/biz/l-and-b-auto-repair-brooklyn,https://www.facebook.com/thryv,https://twitter.com/lbautorepair1,https://www.instagram.com/getthryv/,https://www.youtube.com/thryv,https://www.linkedin.com/company/thryvinc,https://www.tiktok.com/@getthryv",https://www.facebook.com/thryv,https://www.instagram.com/getthryv/,https://twitter.com/lbautorepair1
ypid:YN252E47EFADA1D1F8,Hybrid Auto Tech Inc,"519 W 47th St, New York, NY 10036",,https://www.bing.com/maps?cp=40.7634391784668%7E-73.99408721923828&lvl=16.0&q=Hybrid%20Auto%20Tech%20Inc%20%2C%20519%20W%2047th%20St%2C%20New%20York%2C%20NY%2010036,40.76343918,-73.99408722,5,Yelp (1),汽车维修,24 小时营业,https://hybrid-auto-tech-inc.slue.io/,(212) 582-8877,,https://facebook.com/ellenvilleautobody/,https://facebook.com/ellenvilleautobody/,,
ypid:YN4792121109611FA,Prestige Automotive,"547 W 133rd St, New York, NY 10027",https://www.bing.com/th?id=OLC.1qtYVnPBCifkOg480x360&pid=Local,https://www.bing.com/maps?cp=40.818603515625%7E-73.95499420166016&lvl=16.0&q=Prestige%20Automotive%20%2C%20547%20W%20133rd%20St%2C%20New%20York%2C%20NY%2010027,40.81860352,-73.9549942,4.5,Yelp (111),汽车维修,歇业 · 营业时间: 明天 08:00,http://prestigeautomotiveny.com/,(212) 283-3421,profiles@birdeye.com,"https://www.yelp.com/biz/prestige-automotive-new-york?start=20,https://www.facebook.com/permalink.php?story_fbid=10157992233528601&id=714433600,https://twitter.com/_prestige_auto_",https://www.facebook.com/permalink.php?story_fbid=10157992233528601&id=714433600,,https://twitter.com/_prestige_auto_
ypid:YNB4A3EFAC51AC21BF,Holy Land Auto Repair,"637 Union St, Brooklyn, NY 11215",https://www.bing.com/th?id=OLC.jwbs7tf/H3IVnA480x360&pid=Local,https://www.bing.com/maps?cp=40.67801284790039%7E-73.9840087890625&lvl=16.0&q=Holy%20Land%20Auto%20Repair%20%2C%20637%20Union%20St%2C%20Brooklyn%2C%20NY%2011215,40.67801285,-73.98400879,4.5,Yelp (157),汽车维修,歇业 · 营业时间: 明天 08:00,https://www.holylandautorepair.com/,(718) 246-9695,Holyland637@Gmail.com,"https://www.facebook.com/holylandautorepair/,https://www.instagram.com/holylandautorepair/",https://www.facebook.com/holylandautorepair/,https://www.instagram.com/holylandautorepair/,
ypid:YNE9BB619C8950C4FA,BMW of Manhattan Service Center,"555 W 57th St, New York, NY 10019",https://www.bing.com/th?id=OLC.j3GiXRUgU6UORQ480x360&pid=Local,https://www.bing.com/maps?cp=40.77039337158203%7E-73.99046325683594&lvl=16.0&q=BMW%20of%20Manhattan%20Service%20Center%20%2C%20555%20W%2057th%20St%2C%20New%20York%2C%20NY%2010019,40.77039337,-73.99046326,,,汽车维修,歇业 · 营业时间: 明天 07:30,https://www.bmwnyc.com/service/,(212) 586-2269,"john.genese@bmwnyc.com,John@bmwnyc.com,Smith@bmwnyc.com,genese@bmwnyc.com,Chris.CL.Little@bmwnyc.com,Armando.Diaz@bmwnyc.com,illieweb@trimarketplace.com,jmarra@bmwnyc.com",,,,
ypid:YN3C8382DF82C0A7ED,Mike's Auto,"220 E 117th St, New York, NY 10035",https://www.bing.com/th?id=OLC.eWIacNwxXyKLCA480x360&pid=Local,https://www.bing.com/maps?cp=40.79804229736328%7E-73.93865203857422&lvl=16.0&q=Mike's%20Auto%20%2C%20220%20E%20117th%20St%2C%20New%20York%2C%20NY%2010035,40.7980423,-73.93865204,4.5,Yelp (112),汽车维修,歇业 · 营业时间: 明天 09:00,http://www.mikesautonynj.com/,(212) 695-0250,info@kolpavanderhoek.nl,https://www.yelp.com/biz/mikes-auto-new-york?start=100,,,
