Name,Fulladdress,Street,Municipality,Categories,About,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Review Count,Average Rating,Review URL,Cid,Fid,Latitude,Longitude,Featured Image,Time Zone,Website,Domain,Opening Hours,Google Knowledge URL,Kgmid,Google Maps URL,Place Id,Emails,Facebook Links,Instagram Links,Youtube Links,Tiktok Links,Linkedin Links,Twitter Links,Search Keyword
Carnegie's Café,"2121 S Casino Dr, Laughlin, NV 89029",2121 S Casino Dr,"Laughlin, NV 89029","Restaurant, Cafe","Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(702) 298-4200,"(702) 298-4200, +1 702-298-4200",YES,Carnegie's Café (Owner),109536001905895703270,https://www.google.com/maps/contrib/109536001905895703270,1622,4.7,"https://search.google.com/local/reviews?placeid=ChIJb6ihuDpDzoARfFfbvaqiAX8&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",9151774772006967164,0x80ce433ab8a1a86f:0x7f01a2aabddb577c,35.1577179,-114.5755829,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmdb5IcuBvb_D52A9CDi9cQc70Vr6mKc3eFsmwPiLnl_RAdVn3mzhDrzSNkd7x_zwOU8lowXSBLMF1uN1OQnmBag4h0jKi-IRVPGGJJw6IafTussnD2WeGHOqhtIGSdEDFznRg=w519-h240-k-no,America/Los_Angeles,www.caesars.com/tropicana-laughlin/restaurants/carnegies-cafe,www.caesars.com,"Wednesday(2026-09-02): [6 AM–10 PM], Thursday(2026-09-03): [6 AM–4 PM], Friday(2026-09-04): [6 AM–12 AM], Saturday(2026-09-05): [6 AM–12 AM], Sunday(2026-09-06): [6 AM–4 PM], Monday(2026-09-07): [6 AM–10 PM], Tuesday(2026-09-08): [6 AM–10 PM]",https://www.google.com/search?kgmid=/g/11f6cr67p9,/g/11f6cr67p9,https://www.google.com/maps?cid=9151774772006967164,ChIJb6ihuDpDzoARfFfbvaqiAX8,,,,,,,,"Restaurant  Laughlin, US"
The Range Steakhouse,"2900 S Casino Dr, Laughlin, NV 89029",2900 S Casino Dr,"Laughlin, NV 89029",Steak house,"Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(702) 298-6832,"(702) 298-6832, +1 702-298-6832",YES,The Range Steakhouse (Owner),115570092999437410410,https://www.google.com/maps/contrib/115570092999437410410,787,4.5,"https://search.google.com/local/reviews?placeid=ChIJCyMRPspDzoARs-kvlYDeN4M&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",9455270586527771059,0x80ce43ca3e11230b:0x8337de80952fe9b3,35.1444088,-114.5766623,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmro4DcRjtBOgSNnr_RLm6FG5U0YXqlxK9ny_hTgUP0QdDv_jipHpUDW5SRBH9IXqopvpzstrH7kvJtAy0lqd37Yuu8dbBJNp-IY0Jh0YhyU17srXKNS1_pARs8K1Eu0K7aZpHq=w426-h240-k-no,America/Los_Angeles,www.caesars.com/harrahs-laughlin/restaurants/the-range-steakhouse?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=TheRange&utm_content=restaurant,www.caesars.com,"Wednesday(2026-09-02): [5–9 PM], Thursday(2026-09-03): [5–9 PM], Friday(2026-09-04): [5–10 PM], Saturday(2026-09-05): [5–10 PM], Sunday(2026-09-06): [5–9 PM], Monday(2026-09-07): [Closed], Tuesday(2026-09-08): [Closed]",https://www.google.com/search?kgmid=/g/11c4bjpwgb,/g/11c4bjpwgb,https://www.google.com/maps?cid=9455270586527771059,ChIJCyMRPspDzoARs-kvlYDeN4M,,,,,,,,"Restaurant  Laughlin, US"
Beach Cafe | Harrah's Laughlin Casino,"2900 S Casino Dr, Laughlin, NV 89029",2900 S Casino Dr,"Laughlin, NV 89029","Restaurant, American restaurant","Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(702) 298-4600,"(702) 298-4600, +1 702-298-4600",YES,Beach Cafe | Harrah's Laughlin Casino (Owner),102173119545703066563,https://www.google.com/maps/contrib/102173119545703066563,851,4.5,"https://search.google.com/local/reviews?placeid=ChIJDSMRPspDzoAR86h0peLsSj4&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",4488660436810770675,0x80ce43ca3e11230d:0x3e4aece2a574a8f3,35.144479,-114.576791,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkwilPk6f5jWH56npTQQs2rsaXKsXU5DkQGIyHiay0a7wIB_0mEnFfc2Q7hMs3spedl9H0oKlV6y4wXkd9VoOnriG4jhMfuzGal-c3z7Yons--0WAem13bSMgIk09s1MgFMh81PIg=w408-h306-k-no,America/Los_Angeles,www.caesars.com/harrahs-laughlin/restaurants/beach-cafe?utm_campaign=GMB&utm_source=google&utm_medium=local&utm_term=BeachCafe&utm_content=restaurant,www.caesars.com,"Wednesday(2026-09-02): [6 AM–10 PM], Thursday(2026-09-03): [6 AM–10 PM], Friday(2026-09-04): [6 AM–12 AM], Saturday(2026-09-05): [6 AM–12 AM], Sunday(2026-09-06): [6 AM–10 PM], Monday(2026-09-07): [6 AM–10 PM], Tuesday(2026-09-08): [6 AM–10 PM]",https://www.google.com/search?kgmid=/g/11df7hb34s,/g/11df7hb34s,https://www.google.com/maps?cid=4488660436810770675,ChIJDSMRPspDzoAR86h0peLsSj4,,,,,,,,"Restaurant  Laughlin, US"
Bumbleberry Flats,"2200 S Casino Dr, Laughlin, NV 89029",2200 S Casino Dr,"Laughlin, NV 89029","American restaurant, Breakfast restaurant","Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(702) 298-2442,"(702) 298-2442, +1 702-298-2442",YES,Bumbleberry Flats (Owner),100327154373973360124,https://www.google.com/maps/contrib/100327154373973360124,2584,4.2,"https://search.google.com/local/reviews?placeid=ChIJ88246bJDzoARd7rX7W2tRAE&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",91388580107631223,0x80ce43b2e9b8cdf3:0x144ad6dedd7ba77,35.1557074,-114.5726298,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkdWmViHXIWMbZAIVRjiw1nM7okFIqVxS6CUXhkE9qiLLZDdC9R3bHqTqrsMishhRXufGu_m9VRKX9nI65WjkqoZN8UiGRmOoyH4NBfyxC5w9ruLywv56ErztTBzvQO1W3m33dR=w408-h272-k-no,America/Los_Angeles,www.laughlinpioneer.com/,www.laughlinpioneer.com,"Wednesday(2026-09-02): [8 AM–10 PM], Thursday(2026-09-03): [8 AM–10 PM], Friday(2026-09-04): [8 AM–10 PM], Saturday(2026-09-05): [8 AM–10 PM], Sunday(2026-09-06): [8 AM–10 PM], Monday(2026-09-07): [8 AM–10 PM], Tuesday(2026-09-08): [8 AM–10 PM]",https://www.google.com/search?kgmid=/g/11b7g323lw,/g/11b7g323lw,https://www.google.com/maps?cid=91388580107631223,ChIJ88246bJDzoARd7rX7W2tRAE,,,,,,,,"Restaurant  Laughlin, US"
Claim Jumper Restaurants,"2300 S Casino Dr, Laughlin, NV 89029",2300 S Casino Dr,"Laughlin, NV 89029","Restaurant, American restaurant, Bar, Steak house","Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(702) 298-7146,"(702) 298-7146, +1 702-298-7146",YES,Claim Jumper Restaurants (Owner),104440120111502224555,https://www.google.com/maps/contrib/104440120111502224555,1890,4.2,"https://search.google.com/local/reviews?placeid=ChIJiXvAH7NDzoARtPMRc8we7Kw&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",12460368132480037812,0x80ce43b31fc07b89:0xacec1ecc7311f3b4,35.154098999999995,-114.57419499999999,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlRX-l9V_ohTnOdNuKoH1PRjlHB3Ma0LYKCYsj4Rrz1_hgQJRopzUlLqz-5aeg7QiYul3hX-Eokq50DKTyOEJorHb8dga79T94ngP1CQ60ws_JRCeeLwWDk7s5P0gGD5DBy2-W1=w426-h240-k-no,America/Los_Angeles,www.goldennugget.com/laughlin/restaurants/claim-jumper/,www.goldennugget.com,"Wednesday(2026-09-02): [7 AM–8 PM], Thursday(2026-09-03): [7 AM–8 PM], Friday(2026-09-04): [7 AM–9 PM], Saturday(2026-09-05): [7 AM–9 PM], Sunday(2026-09-06): [7 AM–9 PM], Monday(2026-09-07): [7 AM–8 PM], Tuesday(2026-09-08): [7 AM–8 PM]",https://www.google.com/search?kgmid=/g/1ptyms79z,/g/1ptyms79z,https://www.google.com/maps?cid=12460368132480037812,ChIJiXvAH7NDzoARtPMRc8we7Kw,,,,,,,,"Restaurant  Laughlin, US"
Saltgrass Steak House,"2300 S Casino Dr, Laughlin, NV 89029",2300 S Casino Dr,"Laughlin, NV 89029","Steak house, American restaurant, Seafood restaurant","Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(702) 298-7153,"(702) 298-7153, +1 702-298-7153",YES,Saltgrass Steak House (Owner),109803977813011545907,https://www.google.com/maps/contrib/109803977813011545907,3039,4.6,"https://search.google.com/local/reviews?placeid=ChIJC-9JI7NDzoARNOQkGvBIR5A&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",10396358460876055604,0x80ce43b32349ef0b:0x904748f01a24e434,35.1547942,-114.5725349,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl9r_LaFus9HZ69grY2Hj4eb5gHsNRzdANeUE3kS3Pt2S2Vz1u5CLOoefAq_K5RE7sUKr1EInonBiae_GNeku8H3ioUEh7nL6_FroPH7wmOkM3P2M8y9Qr4zXg9Y-dhRJbVaZFE=w408-h306-k-no,America/Los_Angeles,www.saltgrass.com/location/saltgrass-laughlin/,www.saltgrass.com,"Wednesday(2026-09-02): [3–8 PM], Thursday(2026-09-03): [3–8 PM], Friday(2026-09-04): [3–10 PM], Saturday(2026-09-05): [2–10 PM], Sunday(2026-09-06): [2–8 PM], Monday(2026-09-07): [3–8 PM], Tuesday(2026-09-08): [3–8 PM]",https://www.google.com/search?kgmid=/g/1tlbt_qv,/g/1tlbt_qv,https://www.google.com/maps?cid=10396358460876055604,ChIJC-9JI7NDzoARNOQkGvBIR5A,,,,,,,,"Restaurant  Laughlin, US"
Outback Steakhouse,"1900 S Casino Dr, Laughlin, NV 89029",1900 S Casino Dr,"Laughlin, NV 89029","Steak house, American restaurant, Australian restaurant, Bar, Bar & grill, Gluten-free restaurant, Takeout Restaurant, Restaurant","Accessibility: [Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(702) 298-0419,"(702) 298-0419, +1 702-298-0419",YES,Outback Steakhouse (Owner),112598101559185398260,https://www.google.com/maps/contrib/112598101559185398260,2821,4.4,"https://search.google.com/local/reviews?placeid=ChIJObu3SKtDzoAR54oFCwz3cgI&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",176474966517451495,0x80ce43ab48b7bb39:0x272f70c0b058ae7,35.1634023,-114.5715596,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmWuVgqHl8XnnB442SsGVAawSH4Te3t-ot7pq8Kd343obyAcmcHLlcU7so2pWjxS3tUMuadW2nMwaiVEItIeeBZJca3QUW-oarnK41OpPJYbjorYvh-Z5zJe_n1vqzE9RhhRuM=w408-h306-k-no,America/Los_Angeles,locations.outback.com/nevada/laughlin/1900-south-casino-drive?utm_source=gmb&utm_medium=local_search&utm_campaign=website_cta&y_source=1_MTU1MDIyOTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,locations.outback.com,"Wednesday(2026-09-02): [11 AM–11 PM], Thursday(2026-09-03): [11 AM–11 PM], Friday(2026-09-04): [11 AM–12 AM], Saturday(2026-09-05): [11 AM–12 AM], Sunday(2026-09-06): [11 AM–12 AM], Monday(2026-09-07): [11 AM–11 PM], Tuesday(2026-09-08): [11 AM–11 PM]",https://www.google.com/search?kgmid=/g/1tf3btz7,/g/1tf3btz7,https://www.google.com/maps?cid=176474966517451495,ChIJObu3SKtDzoAR54oFCwz3cgI,,,,,,,,"Restaurant  Laughlin, US"
Bubba Gump Shrimp Co.,"2300 S Casino Dr, Laughlin, NV 89029",2300 S Casino Dr,"Laughlin, NV 89029","Seafood restaurant, American restaurant","Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(702) 298-7143,"(702) 298-7143, +1 702-298-7143",YES,Bubba Gump Shrimp Co. (Owner),101987973724782277730,https://www.google.com/maps/contrib/101987973724782277730,3492,4.1,"https://search.google.com/local/reviews?placeid=ChIJJYB5HrNDzoARWhbpDpSHDno&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",8795116192276223578,0x80ce43b31e798025:0x7a0e87940ee9165a,35.1538,-114.5741939,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn9X_NFFbXwiAz-Rz2oFYfh_uBPSCcQmwkgAJH3lyd7Lau4tv3NbrjJWtzWj4EamMYZYpTaHnVmJpVb-RXWjQ31aUsfB4u7xS3dvhZoPc-e-sjYlTyeYWiLoKhti6Cf4S7JjWs=w408-h306-k-no,America/Los_Angeles,www.bubbagump.com/location/bubba-gump-laughlin-nv/,www.bubbagump.com,"Wednesday(2026-09-02): [12–8 PM], Thursday(2026-09-03): [12–8 PM], Friday(2026-09-04): [12–9 PM], Saturday(2026-09-05): [12–9 PM], Sunday(2026-09-06): [12–8 PM], Monday(2026-09-07): [12–8 PM], Tuesday(2026-09-08): [12–8 PM]",https://www.google.com/search?kgmid=/g/11b5vr3lcy,/g/11b5vr3lcy,https://www.google.com/maps?cid=8795116192276223578,ChIJJYB5HrNDzoARWhbpDpSHDno,,,,,,,,"Restaurant  Laughlin, US"
Prime Rib Room,"1650 S Casino Dr, Laughlin, NV 89029",1650 S Casino Dr,"Laughlin, NV 89029",Steak house,"Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(702) 298-2535,"(702) 298-2535, +1 702-298-2535",YES,Prime Rib Room (Owner),116011725129566187960,https://www.google.com/maps/contrib/116011725129566187960,1248,4.4,"https://search.google.com/local/reviews?placeid=ChIJ2QZIWVVCzoARP4kfZh5xcaA&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",11561146093813074239,0x80ce4255594806d9:0xa071711e661f893f,35.1676662,-114.570712,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlm97tS_Ewv9cCZZZeZ9ULhhjXzUiNnxW2u7BuRlbeSXDOmnyBZrwewyAtqsucywYUtcSKqhwT2IovPWNY1bgjhmL4-QmCdDjVIIhcnJXu4C4sKvTA63-i4Gka_giGnuk2b-SY=w408-h574-k-no,America/Los_Angeles,www.riversideresort.com/dining-riverside-resort/the-prime-rib-room/,www.riversideresort.com,"Wednesday(2026-09-02): [4–9 PM], Thursday(2026-09-03): [4–9 PM], Friday(2026-09-04): [4–10 PM], Saturday(2026-09-05): [4–10 PM], Sunday(2026-09-06): [4–9 PM], Monday(2026-09-07): [4–9 PM], Tuesday(2026-09-08): [4–9 PM]",https://www.google.com/search?kgmid=/g/11c0qlzwct,/g/11c0qlzwct,https://www.google.com/maps?cid=11561146093813074239,ChIJ2QZIWVVCzoARP4kfZh5xcaA,,,,,,,,"Restaurant  Laughlin, US"
The Ranch Bar and Grill | Laughlin Ranch,"1360 William Hardy Dr, Bullhead City, AZ 86429",1360 William Hardy Dr,"Bullhead City, AZ 86429","Steak house, Brunch restaurant, Hamburger restaurant, Lunch restaurant, Pizza restaurant","Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating]",(928) 754-1243,"(928) 754-1243, +1 928-754-1243",YES,The Ranch Bar and Grill | Laughlin Ranch (Owner),114387533864965275469,https://www.google.com/maps/contrib/114387533864965275469,441,4.5,"https://search.google.com/local/reviews?placeid=ChIJifVA1QFCzoARUGMBjiu5OMg&q=Restaurant++Laughlin,+US&authuser=0&hl=en&gl=US",14427485002998571856,0x80ce4201d540f589:0xc838b92b8e016350,35.138234499999996,-114.5267844,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkObkcXXFxtCACnQnAKg4zHayQWRET7okzW0g0PygcrwSPi3nv3wSSzKtRmf-Abk4B47I6TXaqDdu0ltwUZKqjxqckOgi4MVZZXyIIW4-mJkYcBiUNK6t3rBnc-B70Bg4eCNDlv=w408-h306-k-no,America/Phoenix,laughlinranch.com/dining/,laughlinranch.com,"Wednesday(2026-09-02): [11 AM–8 PM], Thursday(2026-09-03): [11 AM–8 PM], Friday(2026-09-04): [11 AM–8 PM], Saturday(2026-09-05): [11 AM–8 PM], Sunday(2026-09-06): [9 AM–3 PM], Monday(2026-09-07): [11 AM–8 PM], Tuesday(2026-09-08): [11 AM–8 PM]",https://www.google.com/search?kgmid=/g/1tvdk1_1,/g/1tvdk1_1,https://www.google.com/maps?cid=14427485002998571856,ChIJifVA1QFCzoARUGMBjiu5OMg,,,,,,,,"Restaurant  Laughlin, US"
