Name,Fulladdress,Street,Municipality,Categories,About,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Review Count,Average Rating,Review URL,Cid,Fid,Latitude,Longitude,Featured Image,Time Zone,Website,Domain,Opening Hours,Google Knowledge URL,Kgmid,Google Maps URL,Place Id,Emails,Facebook Links,Instagram Links,Youtube Links,Tiktok Links,Linkedin Links,Twitter Links,Search Keyword
Brave New Restaurant,"2300 Cottondale Ln #105, Little Rock, AR 72202",2300 Cottondale Ln #105,"Little Rock, AR 72202","New American restaurant, American restaurant, Restaurant","Service options: [Outdoor seating, Curbside pickup, Delivery, Onsite services, Takeout, Dine-in], Highlights: [Fast service, Great beer selection, Great cocktails, Great coffee, Great dessert, Great wine list, Serves local specialty], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Hard liquor, Healthy options, Private dining room, Small plates, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Catering, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom], Atmosphere: [Cozy, Quiet, Romantic, Trendy, Upscale], Crowd: [Family-friendly, Groups], Planning: [Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, Credit cards], Children: [Good for kids, High chairs], Parking: [Free parking lot, Free street parking, Parking], Pets: [Dogs allowed inside, Dogs allowed outside]",(501) 663-2677,"(501) 663-2677, +1 501-663-2677",YES,Brave New Restaurant (Owner),102035560846821902850,https://www.google.com/maps/contrib/102035560846821902850,1027,4.7,"https://search.google.com/local/reviews?placeid=ChIJsaarCa280ocR0V72hAmDZrQ&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",12999221451360198353,0x87d2bcad09aba6b1:0xb466830984f65ed1,34.761648099999995,-92.30003459999999,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmB2s-Fzkt7LCfmj54HQRIzE1ajpm6Gn58l3ClihpuWt-jmeT4wdQ8RfGbbM3yeF71RzJlyyEShipJvRtPnPwC2pT-YE1kTRkUMsHg1D9VplRkFNzc9-vIeOM3aYjoUdrVq6bcelg=w408-h306-k-no,America/Chicago,www.bravenewrestaurant.com/,www.bravenewrestaurant.com,"Thursday(2026-09-03): [11 AM–2 PM, 5–9 PM], Friday(2026-09-04): [11 AM–2 PM, 5–10 PM], Saturday(2026-09-05): [5–10 PM], Sunday(2026-09-06): [Closed], Monday(2026-09-07): [Closed], Tuesday(2026-09-08): [11 AM–2 PM, 5–9 PM], Wednesday(2026-09-09): [11 AM–2 PM, 5–9 PM]",https://www.google.com/search?kgmid=/g/1tn01s10,/g/1tn01s10,https://www.google.com/maps?cid=12999221451360198353,ChIJsaarCa280ocR0V72hAmDZrQ,,,,,,,,"Restaurant  Little Rock, US"
The Pantry Restaurant,"11401 N Rodney Parham Rd, Little Rock, AR 72212",11401 N Rodney Parham Rd,"Little Rock, AR 72212",European restaurant,"Service options: [Outdoor seating, Onsite services, Takeout, Dine-in], Highlights: [Fast service, Great beer selection, Great cocktails, Great coffee, Great dessert, Great wine list, Serves local specialty], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Comfort food, Happy hour drinks, Happy hour food, Hard liquor, Healthy options, Late-night food, Organic dishes, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Catering, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom], Atmosphere: [Casual, Cozy, Romantic, Trendy, Upscale], Crowd: [Groups, Tourists], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, Credit cards], Children: [High chairs], Parking: [Free parking lot, Free street parking, Paid parking lot, Parking], Pets: [Dogs allowed outside]",(501) 353-1875,"(501) 353-1875, +1 501-353-1875",YES,The Pantry Restaurant (Owner),106924970138356222692,https://www.google.com/maps/contrib/106924970138356222692,1416,4.7,"https://search.google.com/local/reviews?placeid=ChIJvbVYBECh0ocRVqX8T_TmYhw&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",2045451117767992662,0x87d2a1400458b5bd:0x1c62e6f44ffca556,34.7718142,-92.40074899999999,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm0FtklucTl7i4LtvPCmBK33_ldcqcHg3_lUPeV5ftNB7AyuNS_J9fVoQsx_gfOyd4biCFFtqnylhpCt4amkN11Ea2orpyUcGVyxt3npNSLhIiXF2UEIsCbsjsdP7qNQTh-EMU=w426-h240-k-no,America/Chicago,www.littlerockpantry.com/,www.littlerockpantry.com,"Thursday(2026-09-03): [11 AM–10 PM], Friday(2026-09-04): [11 AM–11 PM], Saturday(2026-09-05): [4–11 PM], Sunday(2026-09-06): [Closed], Monday(2026-09-07): [11 AM–10 PM], Tuesday(2026-09-08): [11 AM–10 PM], Wednesday(2026-09-09): [11 AM–10 PM]",https://www.google.com/search?kgmid=/g/12jm0r6my,/g/12jm0r6my,https://www.google.com/maps?cid=2045451117767992662,ChIJvbVYBECh0ocRVqX8T_TmYhw,,,,,,,,"Restaurant  Little Rock, US"
Sullivan's Steakhouse,"17707 Chenal Pkwy, Little Rock, AR 72223",17707 Chenal Pkwy,"Little Rock, AR 72223","Steak house, American restaurant, Bar, Bar & grill, Fine dining restaurant","Service options: [Outdoor seating, Curbside pickup, No-contact delivery, Delivery, Onsite services, Takeout, Dine-in], Highlights: [Great beer selection, Great cocktails, Great dessert, Great wine list, Live music], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating, Assistive hearing loop], Offerings: [Alcohol, Beer, Cocktails, Coffee, Comfort food, Happy hour drinks, Happy hour food, Hard liquor, Healthy options, Late-night food, Private dining room, Small plates, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Catering, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom, Wi-Fi, Wi-Fi], Atmosphere: [Casual, Cozy, Quiet, Romantic, Trendy, Upscale], Crowd: [Family-friendly, Groups, LGBTQ+ friendly, Tourists, Transgender safespace], Planning: [Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments], Children: [Good for kids, High chairs, Kids' menu], Parking: [Free parking lot, Free street parking, Parking]",(501) 817-3971,"(501) 817-3971, +1 501-817-3971",YES,Sullivan's Steakhouse (Owner),109627837250112475103,https://www.google.com/maps/contrib/109627837250112475103,3020,4.7,"https://search.google.com/local/reviews?placeid=ChIJ4QUH2Wuh0ocRAfVfAeGCg_4&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",18339646010485110017,0x87d2a16bd90705e1:0xfe8382e1015ff501,34.7672038,-92.4573626,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlZvz8dJfnvAST88UEO7u6l1SoFhx7zd-8SiwDBq98MiPfmh-5bs-4bWx_mXnmFqiHTO8iB65fhix7pNccjJDaUZQASFhRZf2xmISti3SEQOTZ1U17dKKkr9gMNqNvhJt512p4wsw=w408-h306-k-no,America/Chicago,www.sullivanssteakhouse.com/little-rock/,www.sullivanssteakhouse.com,"Thursday(2026-09-03): [11 AM–10 PM], Friday(2026-09-04): [11 AM–11 PM], Saturday(2026-09-05): [11 AM–11 PM], Sunday(2026-09-06): [11 AM–10 PM], Monday(2026-09-07): [11 AM–10 PM], Tuesday(2026-09-08): [11 AM–10 PM], Wednesday(2026-09-09): [11 AM–10 PM]",https://www.google.com/search?kgmid=/g/11rmwr1s6p,/g/11rmwr1s6p,https://www.google.com/maps?cid=18339646010485110017,ChIJ4QUH2Wuh0ocRAfVfAeGCg_4,,,,,,,,"Restaurant  Little Rock, US"
Rex's Restaurant,"1501 Main St Ste J, Little Rock, AR 72202",1501 Main St Ste J,"Little Rock, AR 72202","Restaurant, Bistro, Diner","Service options: [No-contact delivery, Delivery, Onsite services, Takeout, Dine-in], Highlights: [Fast service, Great beer selection, Great cocktails, Serves local specialty], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Comfort food, Happy hour drinks, Happy hour food, Hard liquor, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Catering, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom], Atmosphere: [Casual, Cozy, Trendy], Crowd: [Family-friendly, Groups, LGBTQ+ friendly, Tourists, Transgender safespace], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, Credit cards], Children: [Kids' menu], Parking: [Free parking lot, Free street parking, Parking]",(501) 295-4457,"(501) 295-4457, +1 501-295-4457",YES,Rex's Restaurant (Owner),115201633559802634656,https://www.google.com/maps/contrib/115201633559802634656,130,4.8,"https://search.google.com/local/reviews?placeid=ChIJrYhF_a-70ocRJGGJ0uRxypI&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",10577391902431732004,0x87d2bbaffd4588ad:0x92ca71e4d2896124,34.734040799999995,-92.2727558,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlKpGA_5Mp4zdfy7CuS7JR0ocJbsheJvmmfagz-wOOc4RwAhi1tzCZb7Nclac1MVC-tbXfSgRNd_5U7EHDVIhpGanwPbEHlLUxzcXKT_fnM4I97pvHcvvoenP-RTs30556wrJ4hv0w7-ysv=w426-h240-k-no,America/Chicago,www.rexsrestaurant.com/,www.rexsrestaurant.com,"Thursday(2026-09-03): [5–9 PM], Friday(2026-09-04): [5–10 PM], Saturday(2026-09-05): [11 AM–2:30 PM, 5–10 PM], Sunday(2026-09-06): [11 AM–2:30 PM, 5–9 PM], Monday(2026-09-07): [Closed], Tuesday(2026-09-08): [Closed], Wednesday(2026-09-09): [5–9 PM]",https://www.google.com/search?kgmid=/g/11xfpph6vv,/g/11xfpph6vv,https://www.google.com/maps?cid=10577391902431732004,ChIJrYhF_a-70ocRJGGJ0uRxypI,,,,,,,,"Restaurant  Little Rock, US"
George's Little Rock,"5510 Kavanaugh Blvd, Little Rock, AR 72207",5510 Kavanaugh Blvd,"Little Rock, AR 72207",Italian restaurant,"Service options: [Outdoor seating, Onsite services, Takeout, Dine-in, Delivery], Highlights: [Great cocktails, Great dessert, Great wine list, Serves local specialty], Popular for: [Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Comfort food, Hard liquor, Small plates, Wine], Dining options: [Dinner, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom], Atmosphere: [Cozy, Romantic, Trendy, Upscale], Crowd: [Tourists], Planning: [Dinner reservations recommended, Accepts reservations, Usually a wait], Payments: [Credit cards, Debit cards, NFC mobile payments, Credit cards], Parking: [Free street parking, Parking]",(501) 353-2239,"(501) 353-2239, +1 501-353-2239",YES,George's Little Rock (Owner),108552948570935004905,https://www.google.com/maps/contrib/108552948570935004905,317,4.6,"https://search.google.com/local/reviews?placeid=ChIJyyWONXKj0ocRka5NVVCn4Fg&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",6404302633591221905,0x87d2a372358e25cb:0x58e0a750554dae91,34.7704342,-92.33543329999999,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlGTwsp03NavPoYmCLHeeg_f8PdtzRDvZyZqEIqVTQF4iY0RIAUIE3w5e5Gs08fTlIgQhrpGFJGaQsl7fDopzUSvTBEDAxXhq88rQkAXcYtdkVcnp9pr8t39cW6FMi_0CtC1076=w408-h544-k-no,America/Chicago,www.georgeslittlerock.com/,www.georgeslittlerock.com,"Thursday(2026-09-03): [5–10 PM], Friday(2026-09-04): [5–10 PM], Saturday(2026-09-05): [5–10 PM], Sunday(2026-09-06): [5–10 PM], Monday(2026-09-07): [Closed], Tuesday(2026-09-08): [Closed], Wednesday(2026-09-09): [5–10 PM]",https://www.google.com/search?kgmid=/g/11v3mzx44f,/g/11v3mzx44f,https://www.google.com/maps?cid=6404302633591221905,ChIJyyWONXKj0ocRka5NVVCn4Fg,,,,,,,,"Restaurant  Little Rock, US"
The Root Cafe,"1500 Main St, Little Rock, AR 72202",1500 Main St,"Little Rock, AR 72202","American restaurant, Cafe, Hamburger restaurant, Sandwich shop, Vegetarian restaurant","Service options: [Outdoor seating, Delivery, Onsite services, Takeout, Dine-in], Highlights: [Fast service, Great coffee, Great dessert, Great tea selection, Serves local specialty], Popular for: [Breakfast, Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Comfort food, Hard liquor, Healthy options, Organic dishes, Prepared foods, Quick bite, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Breakfast, Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating, Table service], Amenities: [Gender-neutral restroom, Restroom, Wi-Fi, Wi-Fi], Atmosphere: [Casual, Cozy, Quiet, Trendy], Crowd: [College students, Family-friendly, Groups, LGBTQ+ friendly, Tourists, Transgender safespace], Planning: [Accepts reservations, Usually a wait], Payments: [Checks, Credit cards, Debit cards, NFC mobile payments, Credit cards], Children: [Good for kids, Has changing table(s), High chairs, Kids' menu], Parking: [Free parking lot, Free street parking, On-site parking, Paid street parking, Parking], Pets: [Dogs allowed, Dogs allowed outside]",(501) 414-0423,"(501) 414-0423, +1 501-414-0423",YES,The Root Cafe (Owner),109802686043796491613,https://www.google.com/maps/contrib/109802686043796491613,3484,4.6,"https://search.google.com/local/reviews?placeid=ChIJg0GAiG270ocRuH_PteZeGh0&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",2097092921480150968,0x87d2bb6d88804183:0x1d1a5ee6b5cf7fb8,34.7342088,-92.27350469999999,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlUSKMRAs8LvEFudIxpxOWOojmKTRAk9hzTQI6yikiIPVJqXVja6jytQpyQtbn2idNQYwvbwBeDOItVn_FL_dpyjgBlPS9LE7nbM5zNsibEulNPJBnJZXrJRTL97hXoVAFaUuA=w408-h306-k-no,America/Chicago,www.therootcafe.com/,www.therootcafe.com,"Thursday(2026-09-03): [8 AM–8 PM], Friday(2026-09-04): [8 AM–8 PM], Saturday(2026-09-05): [8 AM–8 PM], Sunday(2026-09-06): [8 AM–8 PM], Monday(2026-09-07): [Closed], Tuesday(2026-09-08): [8 AM–8 PM], Wednesday(2026-09-09): [8 AM–8 PM]",https://www.google.com/search?kgmid=/g/1tjyp7lk,/g/1tjyp7lk,https://www.google.com/maps?cid=2097092921480150968,ChIJg0GAiG270ocRuH_PteZeGh0,,,,,,,,"Restaurant  Little Rock, US"
1916 Chop House & Spirits,"3610 Kavanaugh Blvd, Little Rock, AR 72205",3610 Kavanaugh Blvd,"Little Rock, AR 72205",Restaurant,"Service options: [Takeout, Dine-in, Delivery], Popular for: [Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Comfort food, Small plates], Dining options: [Lunch, Dinner, Dessert], Amenities: [Restroom], Atmosphere: [Casual, Cozy, Trendy], Crowd: [Groups], Payments: [Credit cards, Debit cards, NFC mobile payments], Parking: [Free parking lot, Free street parking]",(501) 799-1916,"(501) 799-1916, +1 501-799-1916",YES,1916 Chop House & Spirits (Owner),116846654752768591641,https://www.google.com/maps/contrib/116846654752768591641,13,5,"https://search.google.com/local/reviews?placeid=ChIJBWZzo3Wj0ocROp7PXhzMT5E&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",10470812080881507898,0x87d2a375a3736605:0x914fcc1c5ecf9e3a,34.7626209,-92.331232,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnIXcL-1kFfyMBhHNYTUkghzIWp4JKzn9mF7pGmkMjfAK0jBtW_0qvAfKEY6Khf7Oceye79qZb8a_CTvBtgCBhDz3ckV40NUHuOwiaULurfMHAqY96S1Ivx1jqe1EhtSmjnA0T6zHaUh7I=w408-h544-k-no,America/Chicago,www.1916chophouse.com/,www.1916chophouse.com,"Thursday(2026-09-03): [4–10 PM], Friday(2026-09-04): [4–10 PM], Saturday(2026-09-05): [4–10 PM], Sunday(2026-09-06): [Closed], Monday(2026-09-07): [Closed], Tuesday(2026-09-08): [Closed], Wednesday(2026-09-09): [4–10 PM]",https://www.google.com/search?kgmid=/g/11nj98fvfz,/g/11nj98fvfz,https://www.google.com/maps?cid=10470812080881507898,ChIJBWZzo3Wj0ocROp7PXhzMT5E,,,,,,,,"Restaurant  Little Rock, US"
Allsopp & Chapple Restaurant + Bar,"311 Main St, Little Rock, AR 72201",311 Main St,"Little Rock, AR 72201",Restaurant,"Service options: [Delivery, Onsite services, Takeout, Dine-in], Highlights: [Great beer selection, Great cocktails, Great dessert, Great wine list, Serves local specialty], Popular for: [Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Comfort food, Happy hour drinks, Happy hour food, Hard liquor, Healthy options, Small plates, Vegetarian options, Wine], Dining options: [Dinner, Dessert, Seating, Table service], Amenities: [Bar onsite, Gender-neutral restroom, Restroom, Wi-Fi, Wi-Fi], Atmosphere: [Cozy, Quiet, Romantic, Trendy, Upscale], Crowd: [Groups, LGBTQ+ friendly, Tourists], Planning: [Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, Credit cards], Children: [High chairs, Kids' menu], Parking: [Paid parking lot, Parking, Valet parking]",(501) 902-4911,"(501) 902-4911, +1 501-902-4911",YES,Allsopp & Chapple Restaurant + Bar (Owner),105315373153761517217,https://www.google.com/maps/contrib/105315373153761517217,496,4.6,"https://search.google.com/local/reviews?placeid=ChIJe0MTuxu70ocRHwjEaYK-dgk&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",681941860922689567,0x87d2bb1bbb13437b:0x976be8269c4081f,34.7456057,-92.270449,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlBuztdO-4kKQV39mJaaxjlUBa6b22umMGFjYtyvjiWufrSb7G83W1mxZhRkinROuASfYRDVPsnx06Y_aWWN8bYUu6SpPHHZ9kqV3LPvEph7BPpBk2BjoRpLSUXaEp6GmqdVqKR=w408-h309-k-no,America/Chicago,allsoppandchapple.com/,allsoppandchapple.com,"Thursday(2026-09-03): [4–9 PM], Friday(2026-09-04): [4–10 PM], Saturday(2026-09-05): [4–10 PM], Sunday(2026-09-06): [Closed], Monday(2026-09-07): [Closed], Tuesday(2026-09-08): [4–9 PM], Wednesday(2026-09-09): [4–9 PM]",https://www.google.com/search?kgmid=/g/11b7gs7bx9,/g/11b7gs7bx9,https://www.google.com/maps?cid=681941860922689567,ChIJe0MTuxu70ocRHwjEaYK-dgk,,,,,,,,"Restaurant  Little Rock, US"
El Sur Street Food Co,"1214 Main St, Little Rock, AR 72202",1214 Main St,"Little Rock, AR 72202",Restaurant,"From the business: [Identifies as Latino-owned, Identifies as LGBTQ+ owned], Service options: [Onsite services, Takeout, Dine-in, Delivery], Highlights: [Fast service, Great beer selection, Great cocktails, Serves local specialty], Popular for: [Breakfast, Lunch, Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Comfort food, Happy hour drinks, Hard liquor, Healthy options, Quick bite, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Breakfast, Brunch, Lunch, Dinner, Counter service, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom], Atmosphere: [Casual, Trendy], Crowd: [Family-friendly, Groups, Tourists], Payments: [Credit cards, Debit cards, NFC mobile payments, Credit cards], Children: [Good for kids, High chairs], Parking: [Free parking lot, Free street parking, Paid parking lot, Paid street parking]",(501) 812-3066,"(501) 812-3066, +1 501-812-3066",YES,El Sur Street Food Co (Owner),113798630392230031967,https://www.google.com/maps/contrib/113798630392230031967,591,4.8,"https://search.google.com/local/reviews?placeid=ChIJkZHYwlu70ocRSTMmyapgpGw&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",7828488338912195401,0x87d2bb5bc2d89191:0x6ca460aac9263349,34.7367753,-92.2729262,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmGzCzcET4uQaUxTIxWyNVeJ3tGNWphIeKL58BYZCzyiIOY9SkFdfunH0OQkbMl7ufRcclZbfbfYmQR5qN6DHrAqx_Pt5gq3xp0c0QImh3_DLwrOQ1KLs0uiH5DmBLW5dySzB4qNw=w408-h306-k-no,America/Chicago,www.elsurstreetfoodco.com/,www.elsurstreetfoodco.com,"Thursday(2026-09-03): [11 AM–9 PM], Friday(2026-09-04): [11 AM–10 PM], Saturday(2026-09-05): [11 AM–10 PM], Sunday(2026-09-06): [11 AM–3 PM], Monday(2026-09-07): [11 AM–9 PM], Tuesday(2026-09-08): [Closed], Wednesday(2026-09-09): [11 AM–9 PM]",https://www.google.com/search?kgmid=/g/11j8w09g0b,/g/11j8w09g0b,https://www.google.com/maps?cid=7828488338912195401,ChIJkZHYwlu70ocRSTMmyapgpGw,,,,,,,,"Restaurant  Little Rock, US"
Petit & Keet,"1620 Market St, Little Rock, AR 72211",1620 Market St,"Little Rock, AR 72211","Restaurant, Bar, Bar & grill, Caterer","Service options: [Outdoor seating, Curbside pickup, Onsite services, Takeout, Dine-in], Highlights: [Fast service, Fireplace, Great beer selection, Great cocktails, Great coffee, Great dessert, Great wine list, Serves local specialty, Sports], Popular for: [Dinner, Solo dining], Accessibility: [Wheelchair accessible entrance, Wheelchair accessible parking lot, Wheelchair accessible restroom, Wheelchair accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Comfort food, Happy hour drinks, Happy hour food, Hard liquor, Healthy options, Late-night food, Private dining room, Small plates, Vegan options, Vegetarian options, Wine], Dining options: [Dinner, Catering, Dessert, Seating, Table service], Amenities: [Bar onsite, Restroom], Atmosphere: [Cozy, Romantic, Trendy, Upscale], Crowd: [Family-friendly, Groups, LGBTQ+ friendly, Tourists, Transgender safespace], Planning: [Dinner reservations recommended, Accepts reservations], Payments: [Credit cards, Debit cards, NFC mobile payments, Credit cards], Children: [Good for kids, High chairs, Kids' menu], Parking: [Free parking lot, Free street parking, Parking, Valet parking], Pets: [Dogs allowed, Dogs allowed outside]",(501) 319-7675,"(501) 319-7675, +1 501-319-7675",YES,Petit & Keet (Owner),114318923550025749640,https://www.google.com/maps/contrib/114318923550025749640,917,4.6,"https://search.google.com/local/reviews?placeid=ChIJd47OA0Gh0ocRnI2cXPIm2ds&q=Restaurant++Little+Rock,+US&authuser=0&hl=en&gl=US",15841735986630135196,0x87d2a14103ce8e77:0xdbd926f25c9c8d9c,34.769481999999996,-92.398466,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm-lzO6xlHURk7FOztcfDPij2xFIyAXxXrFiA6L6NIMEOFTh3ljuvaQnVOCt2vdU1YUJa2mchaCHdOGGjLMRJtDa_4B-du6RboKuus_sPrcQkT3aboqznArhofvG_GTIOraTa83=w408-h272-k-no,America/Chicago,www.petitandkeet.com/,www.petitandkeet.com,"Thursday(2026-09-03): [4–10 PM], Friday(2026-09-04): [4–11 PM], Saturday(2026-09-05): [4–11 PM], Sunday(2026-09-06): [4–9 PM], Monday(2026-09-07): [4–9 PM], Tuesday(2026-09-08): [4–9 PM], Wednesday(2026-09-09): [4–10 PM]",https://www.google.com/search?kgmid=/g/11ddzl2cr8,/g/11ddzl2cr8,https://www.google.com/maps?cid=15841735986630135196,ChIJd47OA0Gh0ocRnI2cXPIm2ds,,,,,,,,"Restaurant  Little Rock, US"
